title,domestic_gross,foreign_gross
Toy Story 3,415000000.0,652000000.0
Alice in Wonderland (2010),334200000.0,691300000.0
Harry Potter and the Deathly Hallows Part 1,296000000.0,664300000.0
Inception,292600000.0,535700000.0
Shrek Forever After,238700000.0,513900000.0
The Twilight Saga: Eclipse,300500000.0,398000000.0
Iron Man 2,312400000.0,311500000.0
Tangled,200800000.0,391000000.0
Despicable Me,251500000.0,291600000.0
How to Train Your Dragon,217600000.0,277300000.0
Clash of the Titans (2010),163200000.0,330000000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,311300000.0
The King's Speech,135500000.0,275400000.0
Tron Legacy,172100000.0,228000000.0
The Karate Kid,176600000.0,182500000.0
Prince of Persia: The Sands of Time,90800000.0,245600000.0
Black Swan,107000000.0,222400000.0
Megamind,148400000.0,173500000.0
Robin Hood,105300000.0,216400000.0
The Last Airbender,131800000.0,187900000.0
Little Fockers,148400000.0,162200000.0
Resident Evil: Afterlife,60100000.0,240100000.0
Shutter Island,128000000.0,166800000.0
Salt,118300000.0,175200000.0
Sex and the City 2,95300000.0,193000000.0
The Tourist,67600000.0,210700000.0
The Expendables,103100000.0,171400000.0
Grown Ups,162000000.0,109400000.0
Knight & Day,76400000.0,185500000.0
True Grit,171200000.0,81000000.0
Gulliver's Travels,42800000.0,194600000.0
Percy Jackson & The Olympians: The Lightning Thief,88800000.0,137700000.0
The Social Network,97000000.0,128000000.0
Valentine's Day,110500000.0,106000000.0
The Sorcerer's Apprentice,63200000.0,152100000.0
Due Date,100500000.0,111200000.0
Eat Pray Love,80600000.0,124000000.0
Yogi Bear,100200000.0,101300000.0
Red,90400000.0,108600000.0
Paranormal Activity 2,84800000.0,92800000.0
The A-Team,77200000.0,100000000.0
Jackass 3-D,117200000.0,54500000.0
The Other Guys,119200000.0,51200000.0
Unstoppable,81600000.0,86200000.0
Step Up 3-D,42400000.0,116900000.0
The Book of Eli,94800000.0,62300000.0
The Town,92200000.0,61800000.0
Date Night,98700000.0,53600000.0
Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,84400000.0
The Wolfman,62000000.0,77800000.0
The Bounty Hunter,67099999.0,69300000.0
Saw 3D,45700000.0,90400000.0
Wall Street: Money Never Sleeps,52500000.0,82300000.0
The Fighter,93600000.0,35600000.0
Predators,52000000.0,75200000.0
A Nightmare on Elm Street (2010),63100000.0,52600000.0
Dear John,80000000.0,35000000.0
Cats & Dogs: The Revenge of Kitty Galore,43600000.0,68900000.0
Tooth Fairy,60000000.0,52400000.0
Life as We Know It,53400000.0,52300000.0
Hereafter,32700000.0,72500000.0
The Girl with the Dragon Tattoo,10100000.0,94300000.0
Love and Other Drugs,32400000.0,70500000.0
Aftershock (Tangshan Dadizhen),63000.0,100200000.0
Killers,47100000.0,51100000.0
Kick-Ass,48100000.0,48100000.0
Green Zone,35100000.0,59800000.0
Nanny McPhee Returns,29000000.0,64200000.0
Get Him to the Greek,61000000.0,30300000.0
Burlesque,39400000.0,50100000.0
The Last Song,63000000.0,26100000.0
Dinner for Schmucks,73000000.0,13800000.0
Marmaduke,33600000.0,50100000.0
Piranha 3D,25000000.0,58200000.0
Oceans,19400000.0,63200000.0
Edge of Darkness,43300000.0,37800000.0
Vampires Suck,36700000.0,43900000.0
Letters to Juliet,53000000.0,26100000.0
The Back-Up Plan,37500000.0,40000000.0
If You Are the One 2 (Fei Cheng Wu Rao II),427000.0,75600000.0
Diary of a Wimpy Kid,64000000.0,11700000.0
Easy A,58400000.0,16600000.0
Hubble 3D,52400000.0,21500000.0
Takers,57700000.0,11300000.0
Tales from Earthsea,48500.0,68600000.0
Legion (2010),40200000.0,27800000.0
The American,35600000.0,32299999.0
The Last Exorcism,41000000.0,26700000.0
The Next Three Days,21100000.0,46300000.0
The Girl Who Played with Fire,7600000.0,59500000.0
Skyline,21400000.0,45400000.0
Hot Tub Time Machine,50300000.0,14300000.0
Devil,33600000.0,29100000.0
127 Hours,18300000.0,42400000.0
Tyler Perry's Why Did I Get Married Too?,60100000.0,578000.0
Secretariat,59700000.0,537000.0
The Ghost Writer,15500000.0,44700000.0
Morning Glory,31000000.0,29000000.0
Remember Me,19100000.0,37000000.0
Cop Out,44900000.0,10700000.0
The Crazies,39100000.0,15700000.0
From Paris with Love,24100000.0,28700000.0
Daybreakers,30100000.0,21300000.0
Alpha and Omega,25100000.0,25400000.0
The Switch,27800000.0,22100000.0
She's Out of My League,32000000.0,17800000.0
Death at a Funeral (2010),42700000.0,6300000.0
How Do You Know,30200000.0,18500000.0
Charlie St. Cloud,31200000.0,17000000.0
Scott Pilgrim vs. the World,31500000.0,16100000.0
Heartbreaker,504000.0,46900000.0
The Spy Next Door,24300000.0,20900000.0
"The Good, the Bad, the Weird",128000.0,44100000.0
Machete,26600000.0,17500000.0
The Girl Who Kicked the Hornet's Nest,5200000.0,38300000.0
The Man From Nowhere,528000.0,42500000.0
When in Rome,32700000.0,10400000.0
My Name is Khan,4000000.0,38300000.0
Going the Distance,17800000.0,24200000.0
The Concert,658000.0,40500000.0
Agora,619000.0,38400000.0
For Colored Girls,37700000.0,17300.0
Brooklyn's Finest,27200000.0,9300000.0
Furry Vengeance,17600000.0,18600000.0
Faster,23200000.0,12400000.0
The Kids Are All Right,20800000.0,13900000.0
You Will Meet a Tall Dark Stranger,3200000.0,31000000.0
The Secret in Their Eyes,6400000.0,27600000.0
Avatar: Special Edition,10700000.0,22500000.0
Leap Year,25900000.0,6700000.0
You Again,25700000.0,6300000.0
Mesrine: Killer Instinct,552000.0,30500000.0
The Losers,23600000.0,5800000.0
Case 39,13300000.0,14900000.0
Ramona and Beezus,26200000.0,1100000.0
Splice,17000000.0,9800000.0
Fair Game (2010),9500000.0,14600000.0
Let Me In,12100000.0,12000000.0
Mao's Last Dancer,4800000.0,17500000.0
Just Wright,21500000.0,29900.0
Our Family Wedding,20300000.0,1200000.0
My Soul to Take,14700000.0,6200000.0
71 Into the Fire,177000.0,20800000.0
"I Love You, Phillip Morris",2000000.0,18700000.0
Country Strong,20200000.0,310000.0
Another Year,3200000.0,16500000.0
Youth in Revolt,15300000.0,4400000.0
Buried,1000000.0,18100000.0
[Rec] 2,27800.0,18500000.0
Repo Men,13800000.0,4600000.0
A Prophet (Un prophète),2100000.0,15800000.0
Soul Kitchen,277000.0,17600000.0
Mother (2010),552000.0,16600000.0
Micmacs,1300000.0,15100000.0
The Nutcracker in 3D,195000.0,16000000.0
Sea Rex 3D: Journey to a Prehistoric World,6100000.0,9900000.0
I Hate Luv Storys,848000.0,14900000.0
Extraordinary Measures,12100000.0,3100000.0
Somewhere,1800000.0,12200000.0
Winter's Bone,6500000.0,7300000.0
The Last Station,6600000.0,6900000.0
Raajneeti,1500000.0,11100000.0
Made in Dagenham,1100000.0,11300000.0
Blue Valentine,9700000.0,2600000.0
Tamara Drewe,560000.0,11400000.0
Chloe,3100000.0,8600000.0
Looking for Eric,55800.0,11500000.0
The Warrior's Way,5700000.0,5400000.0
I Am Love,5000000.0,5900000.0
Jonah Hex,10500000.0,356000.0
Harry Brown,1800000.0,8500000.0
Cyrus,7500000.0,2500000.0
Conviction,6800000.0,2900000.0
Get Low,9200000.0,518000.0
Babies,7300000.0,2200000.0
Stone,1800000.0,7700000.0
Peepli Live,758000.0,8700000.0
Never Let Me Go,2400000.0,7000000.0
Mid-August Lunch,675000.0,8700000.0
MacGruber,8500000.0,797000.0
City Island,6700000.0,1200000.0
Inside Job,4300000.0,3600000.0
The Joneses,1500000.0,5500000.0
Centurion,124000.0,6700000.0
Animal Kingdom,1000000.0,5700000.0
Nowhere Boy,1500000.0,5100000.0
It's Kind of a Funny Story,6400000.0,128000.0
"Waiting for ""Superman""",6400000.0,9300.0
Greenberg,4200000.0,1900000.0
Coco Chanel & Igor Stravinsky,1600000.0,4099999.0
Vincere,619000.0,5100000.0
The Illusionist (2010),2200000.0,3400000.0
Exit Through the Gift Shop,3300000.0,2000000.0
Mademoiselle Chambon,532000.0,4700000.0
Solitary Man,4400000.0,818000.0
Rabbit Hole,2200000.0,2900000.0
Vision,435000.0,4600000.0
Mother and Child,1100000.0,3900000.0
The Runaways,3600000.0,1100000.0
Four Lions,305000.0,4400000.0
Wild Grass,404000.0,4200000.0
Please Give,4000000.0,280000.0
Monsters,237000.0,4000000.0
Rare Exports: A Christmas Tale,236000.0,3800000.0
The Killer Inside Me,217000.0,3800000.0
The Perfect Game,1000000.0,2800000.0
To Save a Life,3800000.0,45800.0
Inspector Bellamy,108000.0,3600000.0
Catfish,3200000.0,242000.0
Wild Target,109000.0,3300000.0
Outside the Law (Hors-la-loi),96900.0,3300000.0
Frozen (2010),246000.0,2900000.0
Dabangg,1300000.0,1700000.0
Kites,1600000.0,1300000.0
Letters to God,2800000.0,60300.0
Twelve,184000.0,2400000.0
Tees Maar Khan,1100000.0,1400000.0
Fish Tank,375000.0,2000000.0
Housefull,1200000.0,1200000.0
Golmaal 3,1100000.0,935000.0
After.Life,109000.0,1900000.0
Cairo Time,1600000.0,391000.0
Guzaarish,1000000.0,695000.0
Ondine,550000.0,1100000.0
Anjaana Anjaani,855000.0,761000.0
John Rabe,67500.0,1400000.0
Restrepo,1300000.0,105000.0
Raavan,709000.0,648000.0
The City of Your Final Destination,493000.0,859000.0
Ajami,622000.0,669000.0
Army of Crime,37000.0,1200000.0
Lebanon,368000.0,830000.0
Howl,617000.0,566000.0
Videocracy,23700.0,1200000.0
When You're Strange,246000.0,901000.0
The Salvation Poem (Poema de Salvacion),915000.0,183000.0
Casino Jack,1000000.0,40700.0
Leaving,176000.0,893000.0
Khatta Meetha,542000.0,499000.0
We Are Family,638000.0,393000.0
Leaves of Grass,70100.0,949000.0
North Face,711000.0,216000.0
Creation,341000.0,555000.0
No One Knows About Persian Cats,81800.0,798000.0
Carlos,146000.0,726000.0
Hideaway (Le Refuge),34500.0,837000.0
The Disappearance of Alice Creed,167000.0,701000.0
Break Ke Baad,428000.0,389000.0
Veer (2010),527000.0,277000.0
Life During Wartime,281000.0,487000.0
Enter the Void,336000.0,418000.0
The Secret of Kells,677000.0,62700.0
No Problem,285000.0,369000.0
All Good Things,582000.0,62500.0
Jack Goes Boating,542000.0,77600.0
Holy Rollers,303000.0,305000.0
Chain Letter,139000.0,447000.0
I Spit on Your Grave,93100.0,480000.0
I'm Still Here,409000.0,160000.0
Salt of this Sea,11700.0,545000.0
Undertow (2010),109000.0,393000.0
Father of My Children,144000.0,335000.0
The Greatest (2010),115000.0,359000.0
The Extra Man,453000.0,4500.0
Dogtooth,110000.0,274000.0
The Tempest,278000.0,68700.0
The Good Heart,20900.0,323000.0
Formosa Betrayed,225000.0,101000.0
Red Hill,21100.0,300000.0
Welcome to the Rileys,159000.0,158000.0
"A Woman, A Gun and A Noodle Shop",191000.0,121000.0
The Girl on the Train,208000.0,97100.0
Mesrine: Public Enemy No. 1,275000.0,28100.0
44 Inch Chest,39000.0,255000.0
Karthik Calling Karthik,286000.0,7100.0
Eyes Wide Open,26300.0,250000.0
Waste Land,188000.0,88700.0
South of the Border,199000.0,70800.0
Human Centipede,181000.0,70700.0
"Lovely, Still",128000.0,106000.0
The Girl (Flickan),2200.0,229000.0
Bitch Slap,17400.0,182000.0
Chance Pe Dance,169000.0,24300.0
Client 9: The Rise and Fall of Eliot Spitzer,189000.0,3500.0
Perrier's Bounty,800.0,167000.0
Around a Small Mountain,33200.0,131000.0
Spring Fever,10800.0,150000.0
The Eclipse,133000.0,26400.0
George A. Romero's Survival of the Dead,102000.0,41500.0
The Romantics,107000.0,17300.0
Freakonomics,101000.0,16400.0
Saint John of Las Vegas,103000.0,9100.0
Band Baaja Baaraat,43800.0,60700.0
Kisses,81700.0,15300.0
Waking Sleeping Beauty,80700.0,4200.0
Enemies of the People,73200.0,6400.0
Hadewijch,5000.0,57500.0
As Good as Dead,2000.0,53600.0
Inhale,4100.0,51000.0
District B13: Ultimatum,36100.0,16200.0
GasLand,30800.0,18600.0
Boogie Woogie,2600.0,44900.0
Come Undone (2010),10000.0,31300.0
The Red Baron,37200.0,3100.0
Bluebeard,33500.0,5200.0
Daddy Longlegs,21800.0,11500.0
Nenette,18000.0,5400.0
Picture Me,12000.0,10400.0
The Thorn in the Heart,7400.0,10500.0
Harry Potter and the Deathly Hallows Part 2,381000000.0,960500000.0
Transformers: Dark of the Moon,352400000.0,771400000.0
Pirates of the Caribbean: On Stranger Tides,241100000.0,804600000.0
The Twilight Saga: Breaking Dawn Part 1,281300000.0,430900000.0
Mission: Impossible - Ghost Protocol,209400000.0,485300000.0
Kung Fu Panda 2,165200000.0,500400000.0
Fast Five,209800000.0,416300000.0
The Hangover Part II,254500000.0,332300000.0
The Smurfs,142600000.0,421100000.0
Cars 2,191500000.0,370700000.0
Puss in Boots,149300000.0,405700000.0
Sherlock Holmes: A Game of Shadows,186800000.0,358600000.0
Rio,143600000.0,341000000.0
Rise of the Planet of the Apes,176800000.0,305000000.0
Thor,181000000.0,268300000.0
The Adventures of Tintin,77600000.0,296400000.0
Captain America: The First Avenger,176700000.0,193900000.0
X-Men: First Class,146400000.0,207200000.0
Alvin and the Chipmunks: Chipwrecked,133100000.0,209600000.0
Real Steel,85500000.0,213800000.0
Bridesmaids,169100000.0,119300000.0
Super 8,127000000.0,133100000.0
Rango,123500000.0,122200000.0
The Girl with the Dragon Tattoo (2011),102500000.0,130100000.0
The Green Hornet,98800000.0,129000000.0
Immortals,83500000.0,143400000.0
Green Lantern,116600000.0,103300000.0
The Help,169700000.0,46900000.0
Bad Teacher,100300000.0,115900000.0
Just Go With It,103000000.0,111900000.0
Battle: Los Angeles,83600000.0,128300000.0
Horrible Bosses,117500000.0,92100000.0
Paranormal Activity 3,104000000.0,103000000.0
Gnomeo and Juliet,100000000.0,94000000.0
Mr. Popper's Penguins,68200000.0,119100000.0
Hugo,73900000.0,111900000.0
The Lion King (in 3D),94200000.0,91300000.0
Hop,108100000.0,75900000.0
War Horse,79900000.0,97700000.0
The Descendants,82600000.0,94700000.0
Cowboys & Aliens,100200000.0,74600000.0
In Time,37500000.0,136400000.0
Zookeeper,80400000.0,89500000.0
The Muppets,88600000.0,76600000.0
Limitless,79200000.0,82600000.0
Johnny English Reborn,8300000.0,151800000.0
Final Destination 5,42600000.0,115300000.0
Tower Heist,78000000.0,74900000.0
Midnight in Paris,56800000.0,94300000.0
Happy Feet Two,64000000.0,86400000.0
I Am Number Four,55100000.0,94800000.0
Jack and Jill,74200000.0,75500000.0
Friends with Benefits,55800000.0,93700000.0
No Strings Attached,70700000.0,78600000.0
Arthur Christmas,46500000.0,101000000.0
Source Code,54700000.0,92600000.0
"Crazy, Stupid, Love.",84400000.0,58500000.0
New Year's Eve,54500000.0,87500000.0
Contagion,75700000.0,59800000.0
The Artist,44700000.0,88800000.0
The Three Musketeers (2011),20400000.0,111900000.0
Unknown,63700000.0,67099999.0
The Adjustment Bureau,62500000.0,65400000.0
We Bought a Zoo,75600000.0,44500000.0
Water for Elephants,58700000.0,58400000.0
The Iron Lady,30000000.0,84900000.0
Moneyball,75600000.0,34600000.0
Sanctum,23200000.0,85400000.0
Justin Bieber: Never Say Never,73000000.0,26000000.0
Paul,37400000.0,60600000.0
Scream 4,38200000.0,59000000.0
Insidious,54000000.0,43000000.0
The Rite,33000000.0,63000000.0
Dolphin Tale,72300000.0,23100000.0
Season of the Witch,24800000.0,66800000.0
Sucker Punch,36400000.0,53400000.0
Red Riding Hood,37700000.0,51500000.0
Spy Kids: All the Time in the World,38500000.0,47000000.0
J. Edgar,37300000.0,47600000.0
Hall Pass,45100000.0,38100000.0
"Big Mommas: Like Father, Like Son",37900000.0,44800000.0
Abduction,28100000.0,54000000.0
"Tinker, Tailor, Soldier, Spy",24100000.0,56500000.0
Priest,29100000.0,49200000.0
Drive (2011),35100000.0,41100000.0
The Mechanic,29100000.0,47000000.0
The Ides of March,41000000.0,35000000.0
The Change-Up,37100000.0,38400000.0
The Lincoln Lawyer,58000000.0,17000000.0
Diary of a Wimpy Kid: Rodrick Rules,52700000.0,19700000.0
Larry Crowne,35600000.0,36400000.0
The Dilemma,48500000.0,21200000.0
The Darkest Hour,21400000.0,43200000.0
Hanna,40300000.0,23500000.0
Footloose (2011),51800000.0,11700000.0
Elite Squad: The Enemy Within,100000.0,62900000.0
Colombiana,36700000.0,24300000.0
Something Borrowed,39000000.0,21100000.0
One Day,13800000.0,45500000.0
Beginning of the Great Revival,151000.0,58200000.0
Killer Elite,25100000.0,31300000.0
Extremely Loud & Incredibly Close,31800000.0,23400000.0
The Tree of Life,13300000.0,41000000.0
Tyler Perry's Madea's Big Happy Family,53300000.0,816000.0
Detective Dee and the Mystery of the Phantom Flame,460000.0,51300000.0
Winnie the Pooh,26700000.0,23200000.0
Conan the Barbarian (2011),21300000.0,27500000.0
Soul Surfer,43900000.0,3200000.0
War of the Arrows,251000.0,45800000.0
Arthur (2011),33000000.0,12700000.0
The Debt,31200000.0,14500000.0
Beastly,27900000.0,15300000.0
Of Gods and Men,4000000.0,38200000.0
Born to Be Wild (IMAX),25900000.0,15600000.0
Evangelion 2.0: You Can (Not) Advance,134000.0,41000000.0
Fright Night (2011),18300000.0,22700000.0
30 Minutes or Less,37100000.0,3500000.0
The Roommate,37300000.0,3200000.0
Shark Night 3D,18900000.0,21300000.0
Monte Carlo,23200000.0,16500000.0
50/50,35000000.0,4200000.0
Mars Needs Moms,21400000.0,17600000.0
Dream House,21300000.0,17200000.0
Jumping the Broom,37300000.0,415000.0
Don't Be Afraid of the Dark,24000000.0,12900000.0
RA One,2500000.0,33400000.0
A Very Harold & Kumar 3D Christmas,35100000.0,326000.0
My Week with Marilyn,14600000.0,20500000.0
The Sitter,30400000.0,4500000.0
Jane Eyre,11200000.0,23500000.0
Shaolin,66100.0,33600000.0
African Cats,15400000.0,15400000.0
The Skin I Live In,3200000.0,27700000.0
I Don't Know How She Does It,9700000.0,20900000.0
What's Your Number?,14000000.0,16399999.0
Drive Angry,10700000.0,18200000.0
Carnage (2011),2500000.0,25100000.0
A Dangerous Method,5700000.0,21800000.0
The Thing (2011),16900000.0,10500000.0
The Eagle,19500000.0,7600000.0
Legend of the Fist: The Return of Chen Zhen,50400.0,26500000.0
Apollo 18,17700000.0,7900000.0
Biutiful,5100000.0,20000000.0
Your Highness,21600000.0,3300000.0
The Rum Diary,13100000.0,10800000.0
The Women on the 6th Floor,720000.0,22500000.0
Potiche,1600000.0,21600000.0
Warrior,13700000.0,9400000.0
Young Adult,16300000.0,6600000.0
Sarah's Key,7700000.0,13400000.0
The Way Back,2700000.0,17600000.0
A Separation,7100000.0,12800000.0
The Guard,5400000.0,14200000.0
Margin Call,5400000.0,14200000.0
Glee The 3D Concert Movie,11900000.0,6800000.0
Shame,3900000.0,13800000.0
13 Assassins,803000.0,16800000.0
Hoodwinked Too! Hood vs. Evil,10100000.0,6800000.0
The Heir Apparent: Largo Winch,10400.0,16900000.0
The Last Godfather,164000.0,16600000.0
Delhi Belly,1500000.0,15200000.0
Melancholia,3000000.0,12900000.0
Judy Moody and the NOT Bummer Summer,15000000.0,678000.0
The Conspirator,11500000.0,3900000.0
Anonymous,4500000.0,10900000.0
Ip Man 2: Legend of the Grandmaster,206000.0,14900000.0
The Housemaid,158000.0,14600000.0
Desert Flower,44300.0,14600000.0
Pina,3500000.0,11100000.0
Beginners,5800000.0,8500000.0
My Afternoons with Margueritte,667000.0,13600000.0
I Saw the Devil,129000.0,12600000.0
The Hedgehog,708000.0,12000000.0
Gainsbourg: A Heroic Life,233000.0,12000000.0
The Warring States,69000.0,11800000.0
What Women Want (Wo Zhi Nu Run Xin),124000.0,11700000.0
Snow Flower and the Secret Fan,1300000.0,10000000.0
Win Win,10200000.0,652000.0
Flying Monsters,5700000.0,5100000.0
City of Life and Death,123000.0,10600000.0
Le Havre,612000.0,9900000.0
In a Better World,1000000.0,8600000.0
Trespass (2011),24100.0,9600000.0
Saving Private Perez,1400000.0,7900000.0
Point Blank,708000.0,8500000.0
Winter in Wartime,543000.0,8700000.0
Barney's Version (U.S. only),4400000.0,4000000.0
Outrage (2011),44700.0,8400000.0
Senna,1600000.0,6600000.0
Last Night,99000.0,7600000.0
The Big Year,7200000.0,244000.0
The Beaver,971000.0,6300000.0
The Princess of Montpensier,352000.0,6400000.0
Cave of Forgotten Dreams,5300000.0,1200000.0
Sex and Zen 3D: Extreme Ecstasy,153000.0,6200000.0
We Need to Talk About Kevin,1700000.0,4300000.0
Attack the Block,1000000.0,4800000.0
Even the Rain,518000.0,5300000.0
